id,tank,symbol,height,capacity,dimeter,approval,weight
23,1,T3B,225,46,580,E20 67R-01 0855,23.4
24,1,ZTW T3S,180,37,580,E20 67R-03 1094,18.0
25,1,ZTW T3A,200,41,580,E20 67R-03 1095,19.0
26,1,ZTW T3B,225,46,580,E20 67R-03 1096,20.0
27,1,T7A,180,34,565,E20 67R-01 0547,20.0
28,1,ZTW T7A,180,34,565,E20 67R-03 1097,17.0
29,1,T10A,200,52,650,E20 67R-01 0802,26.0
30,1,T10B,230,59,650,E20 67R-01 0803,28.0
31,1,T10C,250,67,650,E20 67R-01 0804,29.0
32,1,T10D,270,72,650,E20 67R-01 0805,31.0
33,1,ZTW T10S,180,47,650,E20 67R-03 1119,21.0
34,1,ZTW T10A,200,52,650,E20 67R-03 1120,22.0
35,1,ZTW T10B,230,59,650,E20 67R-03 1121,23.0
36,1,ZTW T10C,250,67,650,E20 67R-03 1122,24.0
37,1,ZTW T10D,270,72,650,E20 67R-03 1123,25.0
38,1,ZTW T10E,300,79,650,E20 67R-03 1124,26.0
39,1,T12A,250,80,720,E20 67R-03 0804,35.0
40,1,T12B,270,87,720,E20 67R-03 0805,37.0
41,1,T12C,300,98,720,E20 67R-03 0954,39.0
42,1,T12S,180,56,720,E20 67R-03 1114,29.0
43,1,T12M,200,62,720,E20 67R-03 1115,31.0
44,1,T12L,230,74,720,E20 67R-03 1116,33.0
45,1,T13A,200,58,680,E20 67R-010802,28.0
46,1,T13B,225,67,680,E20 67R-010855,30.0
47,1,T13C,250,75,680,E20 67R-010804,32.0
48,1,T13D,270,82,680,E20 67R-010805,34.0
49,2,T4A,200,48,630,E20 67R-010806,25.0
50,2,T4B,225,55,630,E20 67R-010856,26.2
51,2,T4C,250,62,630,E20 67R-010808,27.4
52,2,T4D,270,67,630,E20 67R-010809,28.3
53,2,ZTZ T4A,200,49,630,E20 67R-03 1066,21.0
54,2,ZTZ T4B,225,56,630,E20 67R-03 1067,22.0
55,2,ZTZ T4C,250,63,630,E20 67R-03 1068,23.0
56,2,ZTZ T4D,270,69,630,E20 67R-03 1069,24.0
57,2,ZTZ T4E,300,77,630,E20 67R-03 1070,26.0
58,2,T5A,190,41,600,E20 67R-010854,22.5
59,2,T5B,200,44,600,E20 67R-010806,23.0
60,2,T5C,225,50,600,E20 67R-010856,23.4
61,2,T5E,250,55,600,E20 67R-010808,25.2
62,2,T5F,270,60,600,E20 67R-010809,26.0
63,2,ZTZ T5A,190,41,600,E20 67R-03 1098,20.0
64,2,ZTZ T5B,200,44,600,E20 67R-03 1099,21.0
65,2,ZTZ T5C,225,50,600,E20 67R-03 1100,22.0
66,2,ZTZ T5E,250,55,600,E20 67R-03 1101,23.0
67,2,ZTZ T5F,270,60,600,E20 67R-03 1102,24.0
68,2,T6A,200,41,580,E20 67R-010806,22.3
69,2,T6B,225,46,580,E20 67R-010856,23.4
70,2,ZTZ T6A,200,41,580,E20 67R-03 1103,19.0
71,2,ZTZ T6B,225,46,580,E20 67R-03 1104,20.0
72,2,T8A,180,34,565,E20 67R-010603,20.0
73,2,ZTZ T8A,180,34,565,E20 67R-03 1105,17.0
74,2,T9A,200,52,650,E20 67R-010806,26.0
75,2,T9B,230,59,650,E20 67R-010807,28.0
76,2,T9C,250,67,650,E20 67R-010808,29.0
77,2,T9D,270,72,650,E20 67R-010809,31.0
78,2,ZTZ T9A,200,52,650,E20 67R-03 1125,22.0
79,2,ZTZ T9B,230,59,650,E20 67R-03 1126,23.0
80,2,ZTZ T9C,250,67,650,E20 67R-03 1127,24.0
81,2,ZTZ T9D,270,72,650,E20 67R-03 1128,25.0
82,2,ZTZ T9E,300,79,650,E20 67R-03 1129,26.0
83,3,TP T16A,200,52,630,E20 67R-03 1144,22.0
84,3,TP T16B,225,58,630,E20 67R-03 1145,24.0
85,3,TP T16C,250,66,630,E20 67R-03 1146,26.0
86,3,TP T16D,270,72,630,E20 67R-03 1147,27.0
87,3,TP T16E,300,82,630,E20 67R-03 1148,29.0
88,3,T11A,200,58,650,E20 67R-010914,27.0
89,3,T11B,230,64,650,E20 67R-010915,29.0
90,3,T11C,250,72,650,E20 67R-010916,31.0
91,3,T11D,270,78,650,E20 67R-010917,32.0
92,3,TP T11A,200,58,650,E20 67R-03 1134,23.0
93,3,TP T11B,230,64,650,E20 67R-03 1135,25.0
94,3,TP T11C,250,72,650,E20 67R-03 1136,27.0
95,3,TP T11D,270,78,650,E20 67R-03 1137,28.0
96,3,TP T11E,300,86,650,E20 67R-03 1138,30.0
97,3,T14A,200,60,680,E20 67R-010914,30.0
98,3,T14B,225,69,680,E20 67R-011031,31.0
99,3,T14C,250,77,680,E20 67R-010916,33.0
100,3,T14D,270,84,680,E20 67R-010917,35.0
101,3,TP T14A,200,60,680,E20 67R-03 1139,24.0
102,3,TP T14B,225,69,680,E20 67R-03 1140,26.0
103,3,TP T14C,250,78,680,E20 67R-03 1141,28.0
104,3,TP T14D,270,85,680,E20 67R-03 1142,30.0
105,3,TP T14E,300,95,680,E20 67R-03 1143,32.0
106,3,T15A,250,82,720,E20 67R-03 0916,35.0
107,3,T15B,270,92,720,E20 67R-03 0917,37.0
108,3,T15C,300,103,720,E20 67R-03 1032,39.0
109,3,T15M,200,64,720,E20 67R-03 1117,31.0
110,3,T15L,230,76,720,E20 67R-03 1118,33.0
115,4,W1A,540,35,315,E20 67R-010495,15.0
116,4,W1B,592,40,315,E20 67R-010495,16.6
117,4,W1C,670,45,315,E20 67R-010496,17.5
118,4,W1D,735,50,315,E20 67R-010496,19.8
119,4,W1E,800,55,315,E20 67R-010497,21.3
120,4,W1F,870,60,315,E20 67R-010497,23.0
121,4,W1G,940,65,315,E20 67R-010498,25.0
122,4,W1H,1000,70,315,E20 67R-010498,26.0
123,4,W1I,1140,80,315,E20 67R-010499,29.2
124,4,W1J,1275,90,315,E20 67R-010499,32.3
125,4,W1K,1410,100,315,E20 67R-010500,35.5
126,4,W2B,589,50,360,E20 67R-010688,19.6
127,4,W2C,674,60,360,E20 67R-010688,22.6
128,4,W2D,774,70,360,E20 67R-010689,25.3
129,4,W2E,878,80,360,E20 67R-010689,28.0
130,4,W2F,980,90,360,E20 67R-010690,30.7
131,4,W2G,1082,100,360,E20 67R-010690,33.4
132,4,W2H,1184,110,360,E20 67R-010691,36.0
133,1,T1A,200,48,630,E20 67R-010802,25.0
134,1,T1B,225,55,630,E20 67R-010855,26.2
135,1,T1C,250,62,630,E20 67R-010804,27.4
136,1,T1D,270,67,630,E20 67R-010805,28.3
137,1,ZTW T1S,180,44,630,E20 67R-03 1060,20.0
138,1,ZTW T1A,200,49,630,E20 67R-03 1061,21.0
139,1,ZTW T1B,225,56,630,E20 67R-03 1062,22.0
140,1,ZTW T1C,250,63,630,E20 67R-03 1063,23.0
141,1,ZTW T1D,270,69,630,E20 67R-03 1064,24.0
142,1,ZTW T1E,300,77,630,E20 67R-03 1065,26.0
143,1,T2A,190,41,600,E20 67R-010853,22.5
144,1,T2B,200,44,600,E20 67R-010802,23.0
145,1,T2C,225,50,600,E20 67R-010855,24.2
146,1,T2E,250,55,600,E20 67R-010804,25.2
147,1,T2F,270,60,600,E20 67R-010805,26.0
148,1,ZTW T2S,180,38,600,E20 67R-03 1088,19.0
149,1,ZTW T2A,190,41,600,E20 67R-03 1089,20.0
150,1,ZTW T2B,200,44,600,E20 67R-03 1090,21.0
151,1,ZTW T2C,225,50,600,E20 67R-03 1091,22.0
152,1,ZTW T2E,250,55,600,E20 67R-03 1092,23.0
153,1,ZTW T2F,270,60,600,E20 67R-03 1093,24.0
154,1,T3A,200,41,580,E20 67R-010802,22.3
155,3,TP T16S,180,47,630,PROTOTYP,21.0
156,2,ZTZ T6S,180,37,580,PROTOTYP,18.0
157,2,ZTZ T5S,180,38,600,PROTOTYP,19.0
158,2,ZTZ T4S,180,44,630,PROTOTYP,20.0
159,2,ZTZ T9S,180,47,650,PROTOTYP,21.0
160,3,TP T11S,180,50,650,PROTOTYP,22.0
161,3,TP T14S,180,53,680,PROTOTYP,23.0
162,3,T15S,180,59,720,PROTOTYP,30.0
163,4,ZW 244A,614,25,244,PROTOTYP,11.0
164,4,ZW 244B,724,30,244,PROTOTYP,13.0
165,4,ZW 244C,844,35,244,PROTOTYP,14.5
166,4,ZW 244D,954,40,244,PROTOTYP,16.0
167,4,ZW 244E,1069,45,244,PROTOTYP,17.5
168,4,ZW 244F,1174,50,244,PROTOTYP,19.0
169,4,ZW 244G,1304,50,244,PROTOTYP,21.0
170,4,ZW 244H,1414,60,244,PROTOTYP,22.5
171,4,ZW 270A,601,30,270,PROTOTYP,12.0
172,4,ZW 270B,691,35,270,PROTOTYP,13.5
173,4,ZW 270C,781,40,270,PROTOTYP,15.0
174,4,ZW 270D,871,45,270,PROTOTYP,16.5
175,4,ZW 270E,963,50,270,PROTOTYP,19.0
176,4,ZW 270F,1056,55,270,PROTOTYP,18.5
177,4,ZW 300A,638,40,300,PROTOTYP,14.0
178,4,ZW 300B,708,45,300,PROTOTYP,15.5
179,4,ZW 300C,778,50,300,PROTOTYP,17.0
180,4,ZW 300D,858,55,300,PROTOTYP,18.5
181,4,ZW 300E,928,60,300,PROTOTYP,20.0
182,4,ZW 300F,1008,65,300,PROTOTYP,21.5
183,4,ZW 300 G,1078,70,300,PROTOTYP,23.0
224,4,ZW 315B,582,40,315,PROTOTYP,14.0
225,4,ZW 315C,660,45,315,PROTOTYP,15.5
226,4,ZW 315D,724,50,315,PROTOTYP,17.0
227,4,ZW 315E,784,55,315,PROTOTYP,18.5
228,4,ZW 315F,853,60,315,PROTOTYP,19.5
229,4,ZW 315G,923,65,315,PROTOTYP,21.0
230,4,ZW 315H,984,70,315,PROTOTYP,22.0
231,4,ZW 315I,1117,80,315,PROTOTYP,24.5
232,4,ZW 315J,1248,90,315,PROTOTYP,27.0
233,4,ZW 315K,1385,100,315,PROTOTYP,29.5
234,1,ZTW T13S,180,50,680,E20 67R-03 1149,22.0
235,1,ZTW T13A,200,58,680,E20 67R-03 1150,23.0
236,1,ZTW T13B,225,67,680,E20 67R-03 1151,25.0
237,1,ZTW T13C,250,75,680,E20 67R-03 1152,27.0
238,1,ZTW T13D,270,82,680,E20 67R-03 1153,28.0
239,1,ZTW T13E,300,92,680,E20 67R-03  1154,30.0
